SUN-OFDM 863-870MHz O4 MCS5,0.988,-108.25
SUN-OFDM 863-870MHz O4 MCS4,0.988,-109.51
SUN-OFDM 863-870MHz O4 MCS5,0.950,-109.36
SUN-OFDM 863-870MHz O4 MCS4,0.994,-109.86
SUN-OFDM 863-870MHz O4 MCS5,0.906,-109.71
SUN-OFDM 863-870MHz O4 MCS2,0.981,-110.52
SUN-OFDM 863-870MHz O4 MCS3,0.994,-110.93
SUN-OFDM 863-870MHz O4 MCS4,0.956,-110.96
SUN-OFDM 863-870MHz O4 MCS5,0.625,-110.61
SUN-OFDM 863-870MHz O4 MCS2,0.994,-111.30
SUN-OFDM 863-870MHz O4 MCS3,0.981,-111.82
SUN-OFDM 863-870MHz O4 MCS4,0.838,-111.82
SUN-OFDM 863-870MHz O4 MCS5,0.281,-111.64
SUN-OFDM 863-870MHz O4 MCS2,0.981,-112.38
SUN-OFDM 863-870MHz O4 MCS3,0.956,-112.81
SUN-OFDM 863-870MHz O4 MCS4,0.619,-112.96
SUN-OFDM 863-870MHz O4 MCS5,0.037,-112.67
SUN-OFDM 863-870MHz O4 MCS2,0.900,-113.51
SUN-OFDM 863-870MHz O4 MCS3,0.869,-113.82
SUN-OFDM 863-870MHz O4 MCS4,0.419,-113.57
SUN-OFDM 863-870MHz O4 MCS5,0.000,0.00
SUN-OFDM 863-870MHz O4 MCS2,0.863,-114.65
SUN-OFDM 863-870MHz O4 MCS3,0.669,-114.79
SUN-OFDM 863-870MHz O4 MCS4,0.081,-114.38
SUN-OFDM 863-870MHz O4 MCS5,0.000,0.00
SUN-OFDM 863-870MHz O4 MCS2,0.725,-115.59
SUN-OFDM 863-870MHz O4 MCS3,0.450,-115.46
SUN-OFDM 863-870MHz O4 MCS4,0.006,-116.00
SUN-OFDM 863-870MHz O4 MCS5,0.000,0.00
